"00TAF","BOLTON GENERAL PRACTICE","CLINICAL COMMISSIONING GROUP SITE","","01-04-2013","","01-04-2013","","Active","MARSDEN HOUSE","BOLTON","BL1 2AY"
"00TDP","BOLTON GENERAL PRACTICE","CLINICAL COMMISSIONING GROUP SITE","","01-04-2018","","01-04-2018","","Active","2-4 MOOR LANE","BOLTON","BL1 4TH"
"02HCW","ASTLEY GENERAL PRACTICE","CLINICAL COMMISSIONING GROUP SITE","","01-10-2013","","01-10-2013","","Active","391 MANCHESTER ROAD","MANCHESTER","M29 7BY"
"5CC28","AUDLEY/WHITEBIRK GENERAL PRACTICE","PRIMARY CARE TRUST SITE","","01-04-2009","31-03-2010","01-04-2009","","Active","413 AUDLEY RANGE","BLACKBURN","BB1 1UD"
"5HQA1","BOLTON GENERAL PRACTICE","PRIMARY CARE TRUST SITE","","01-04-2008","31-03-2013","01-04-2008","30-09-2020","Inactive","MARSDEN HOUSE","BOLTON","BL1 2AY"
"5LC42","MSK GEN PHYSIO","PRIMARY CARE TRUST SITE","","01-10-2012","02-10-2012","01-10-2012","30-09-2020","Inactive","SOHO GENERAL PRACTICE","LONDON","W1D 3HZ"
"5NL29","EVERTON ROAD GENERAL PRACTICE","PRIMARY CARE TRUST SITE","","01-10-2006","31-03-2013","01-10-2006","","Active","70 EVERTON ROAD","LIVERPOOL","L6 2EW"
"5NL71","KENSINGTON PARK GENERAL PRACTICE","PRIMARY CARE TRUST SITE","","01-04-2007","31-03-2013","01-04-2007","","Active","JUBILEE DRIVE","LIVERPOOL","L7 8SJ"
"8D094","YERBURY CHRISTOPHER (GENERAL PRACTICE)","NON-NHS ORGANISATION","","01-04-1996","","01-04-1996","","Active","UPTON FARM","BRISTOL","BS40 8BG"
"8J629","NEWCASTLE GENERAL PRACTICE SERVICES LTD","NON-NHS ORGANISATION","","29-04-2014","","29-04-2014","","Active","DOBSON HOUSE","NEWCASTLE UPON TYNE","NE3 3PF"
"8JN40","GENERAL PRACTICE SOFTWARE SOLUTIONS","NON-NHS ORGANISATION","","06-02-2017","","06-02-2017","","Active","4 WOODFIELD CLOSE","COULSDON","CR5 3EQ"
"AEX","SOMERSET GPSU (GENERAL PRACTICE SUPPORT UNIT)","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","01-04-2014","","01-04-2014","","Active","GEORGE SMITH WAY","YEOVIL","BA22 8QR"
"AEX01","SOMERSET GPSU (GENERAL PRACTICE SUPPORT UNIT)","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2014","","01-04-2014","","Active","GEORGE SMITH WAY","YEOVIL","BA22 8QR"
"APA","GENERAL PRACTICE ALLIANCE LIMITED","INDEPENDENT SECTOR HEALTHCARE PROVIDER","EXTENDED ACCESS PROVIDER","01-10-2014","","01-10-2014","","Active","129 HAZELDENE ROAD","NORTHAMPTON","NN2 7PB"
"APA01","GENERAL PRACTICE ALLIANCE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-10-2014","","01-10-2014","","Active","129 HAZELDENE ROAD","NORTHAMPTON","NN2 7PB"
"APE","RICHMOND GENERAL PRACTICE ALLIANCE LTD","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","01-10-2014","","01-10-2014","","Active","TUDOR HOUSE","KINGSTON UPON THAMES","KT1 4DY"
"APE01","RICHMOND GENERAL PRACTICE ALLIANCE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-10-2014","","01-10-2014","","Active","TUDOR HOUSE","KINGSTON UPON THAMES","KT1 4DY"
"APG","KINGSTON GENERAL PRACTICE CHAMBERS LIMITED","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","01-04-2015","","01-04-2015","","Active","WEST BARNES SURGERY","NEW MALDEN","KT3 6JD"
"APG01","KINGSTON GENERAL PRACTICE CHAMBERS","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2015","","01-04-2015","","Active","WEST BARNES SURGERY","NEW MALDEN","KT3 6JD"
"APV01","DEANBROOK PRIVATE GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2015","","01-04-2015","","Active","THE CANDOVER CLINIC","BASINGSTOKE","RG24 9NA"
"B4G3K","GENERAL PRACTICE SOFTWARE SOLUTIONS LTD","NON-NHS ORGANISATION","","04-06-2021","","04-06-2021","","Active","11 UPPER WOODCOTE VILLAGE","PURLEY","CR8 3HE"
"C1E0X","GENERAL PRACTICE SOLUTIONS","APPLICATION SERVICE PROVIDER","","14-10-2024","","14-10-2024","","Active","71-75 SHELTON STREET","LONDON","WC2H 9JQ"
"C88037","STEEL CITY GENERAL PRACTICE","PRESCRIBING COST CENTRE","GP PRACTICE","01-04-1974","","01-04-1974","","Active","148 BASLOW ROAD","SHEFFIELD","S17 4DR"
"DDV1Y","THE HEIGHT GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2018","","01-04-2018","","Active","355 BOLTON ROAD","SALFORD","M6 7NJ"
"DGJ05","DIRECT MEDICARE UK - HEIGHT GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2018","","01-04-2018","","Active","355 BOLTON ROAD","SALFORD","M6 7NJ"
"DKE0R","BOLTON GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2019","","01-04-2019","","Active","2-4 MOOR LANE","BOLTON","BL1 4TH"
"DKE51","HEIGHT GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-10-2018","","01-10-2018","","Active","355 BOLTON ROAD","SALFORD","M6 7NJ"
"DP7","SOUTH & EAST LEEDS GENERAL PRACTICE GROUP","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","01-04-2018","","01-04-2018","","Active","PARK EDGE PRACTICE","LEEDS","LS14 1HX"
"DP701","SOUTH & EAST LEEDS GENERAL PRACTICE GROUP (ASKET DRIVE)","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2018","","01-04-2018","","Active","PARK EDGE PRACTICE","LEEDS","LS14 1HX"
"DRN","REIMAGINING GENERAL PRACTICE LTD","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","01-04-2018","","01-04-2018","","Active","BRAMLEY VILLAGE HEALTH","LEEDS","LS13 2BL"
"DRN01","REIMAGINING GENERAL PRACTICE (BRAMLEY VILLAGE)","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2018","","01-04-2018","","Active","BRAMLEY VILLAGE HEALTH","LEEDS","LS13 2BL"
"DT0","LEEDS GENERAL PRACTICE CONFEDERATION LIMITED","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","01-04-2018","","01-04-2018","","Active","WHITE ROSE OFFICE PARK","LEEDS","LS11 0DL"
"DT001","LEEDS GENERAL PRACTICE CONFEDERATION LIMITED - STOCKDALE HOUSE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2018","","01-04-2018","","Active","2ND FLOOR, STOCKDALE HOUSE","LEEDS","LS6 1PF"
"E87714","SOHO SQUARE GENERAL PRACTICE","PRESCRIBING COST CENTRE","GP PRACTICE","01-04-1974","","01-04-1974","","Active","1ST FLOOR","LONDON","W1D 3HZ"
"E9X8T","THE LONDON GENERAL PRACTICE","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","01-04-2021","","01-04-2021","","Active","114A HARLEY STREET","LONDON","W1G 7JL"
"F3I5X","GENERAL PRACTICE TASK FORCE LTD","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","01-04-2022","","01-04-2022","","Active","HERITAGE GATE","DERBY","DE1 1NU"
"F84003","LOWER CLAPTON GENERAL PRACTICE","PRESCRIBING COST CENTRE","GP PRACTICE","01-04-1974","","01-04-1974","","Active","THE PORTICO","LONDON","E5 0RD"
"G7N0V","BOLTON GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-10-2021","","01-10-2021","","Active","2-4 MOOR LANE","BOLTON","BL1 4TH"
"I2N0W","STEEL CITY GENERAL PRACTICE","NHS TRUST SITE","","12-04-2024","","12-04-2024","","Active","148 BASLOW ROAD","SHEFFIELD","S17 4DR"
"J9R9R","GENERAL PRACTICE SPECIALISTS LTD","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","01-10-2023","","01-10-2023","","Active","9 PORTLAND STREET","MANCHESTER","M1 3BE"
"K6X3J","THE HILL GENERAL PRACTICE","BRANCH SURGERY","","08-09-2025","","08-09-2025","","Active","856 STRATFORD ROAD","BIRMINGHAM","B11 4BW"
"N82117003","ROPEWALKS GENERAL PRACTICE","BRANCH SURGERY","","01-04-2005","","01-04-2005","","Active","BROWNLOW HEALTH @ROPEWALKS","LIVERPOOL","L1 5DL"
"NBG19","THE HEIGHT GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-10-2012","","01-10-2012","","Active","355 BOLTON ROAD","SALFORD","M6 7NJ"
"NEM27","ASTLEY GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","20-11-2013","","20-11-2013","","Active","391A MANCHESTER ROAD","MANCHESTER","M29 7BY"
"NEM77","BOLTON GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-10-2015","","01-10-2015","","Active","2-4 MOOR LANE","BOLTON","BL1 4TH"
"NEMAP","NOTTINGHAM CITY GENERAL PRACTICE ALLIANCE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2019","","01-04-2019","","Active","79A UPPER PARLIAMENT STREET","NOTTINGHAM","NG1 6LD"
"NRP1H","BOLTON GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-10-2019","","01-10-2019","","Active","2-4 MOOR LANE","BOLTON","BL1 4TH"
"NTPAL","GREET GENERAL PRACTICE & URGENT CARE CENTRE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2010","","01-04-2010","","Active","C/O CARE UK","BIRMINGHAM","B11 3ND"
"NWL","MY GENERAL PRACTICE LIMITED","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","01-10-2008","","01-10-2008","","Active","SKIMPED HILL HEALTH CENTRE","BRACKNELL","RG12 1LH"
"NWL01","MY GENERAL PRACTICE - SKIMPED HILL","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-10-2008","","01-10-2008","","Active","SKIMPED HILL HEALTH CENTRE","BRACKNELL","RG12 1LH"
"NXXD6","SCRIVENS HEARING CARE AT THE HEIGHT GENERAL PRACTICE - SALFORD","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2013","","01-04-2013","","Active","355 BOLTON ROAD","SALFORD","M6 7NJ"
"NXXF5","SCRIVENS HEARING CARE AT ASTLEY GENERAL PRACTICE - TYLDESLEY","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-10-2013","31-07-2022","01-10-2013","31-07-2022","Inactive","391A MANCHESTER ROAD","MANCHESTER","M29 7BY"
"P88013","CARITAS GENERAL PRACTICE PARTNERSHIP","PRESCRIBING COST CENTRE","GP PRACTICE","01-04-1974","","01-04-1974","","Active","262 STOCKPORT ROAD","STOCKPORT","SK3 0RQ"
"P92637","ASTLEY GENERAL PRACTICE","PRESCRIBING COST CENTRE","GP PRACTICE","15-08-1989","","15-08-1989","","Active","391A MANCHESTER ROAD","MANCHESTER","M29 7BY"
"RA213","DAPDUNE GENERAL PRACTICE","NHS TRUST SITE","","01-04-2005","","01-04-2005","","Active","WHARF ROAD","GUILDFORD","GU1 4RP"
"RA223","MERROW PARK GENERAL PRACTICE","NHS TRUST SITE","","01-04-2005","","01-04-2005","","Active","KINGFISHER DRIVE","GUILDFORD","GU4 7EP"
"RMC97","BOLTON GENERAL PRACTICE","NHS TRUST SITE","","01-04-2011","","01-04-2011","","Active","MARSDEN HOUSE","BOLTON","BL1 2AY"
"RQX12","LOWER CLAPTON HEALTH CENTRE","NHS TRUST SITE","","01-10-2010","","01-10-2010","","Active","LOWER CLAPTON GENERAL PRACTICE","LONDON","E5 0RD"
"RW43T","EVERTON ROAD GENERAL PRACTICE","NHS TRUST SITE","","01-10-2017","","01-10-2017","","Active","70 EVERTON ROAD","LIVERPOOL","L6 2EW"
"RW44K","KENSINGTON PARK GENERAL PRACTICE","NHS TRUST SITE","","01-10-2017","","01-10-2017","","Active","JUBILEE DRIVE","LIVERPOOL","L7 8SJ"
"RXKH4","THE HILL GENERAL PRACTICE","NHS TRUST SITE","","01-10-2019","","01-10-2019","","Active","SPARKHILL PRIMARY CARE CENTRE","BIRMINGHAM","B11 4BW"
"RY129","EVERTON ROAD GENERAL PRACTICE","NHS TRUST SITE","","01-11-2010","31-03-2018","01-11-2010","","Active","70 EVERTON ROAD","LIVERPOOL","L6 2EW"
"RY171","KENSINGTON PARK GENERAL PRACTICE","NHS TRUST SITE","","01-11-2010","31-03-2018","01-11-2010","","Active","JUBILEE DRIVE","LIVERPOOL","L7 8SJ"
"RYX09","SOHO SQUARE GENERAL PRACTICE","NHS TRUST SITE","","01-10-2011","","01-10-2011","","Active","FIRST FLOOR, 1 FRITH STREET","LONDON","W1D 3HZ"
"S70925","RICCARTON GENERAL PRACTICE","SCOTTISH GP PRACTICE","GP PRACTICE","01-10-1994","","01-10-1994","","Active","HERIOT-WATT UNIVERSITY MEDICAL CTR","CURRIE","EH14 4AS"
"S71171","CHALLENGING BEHAVIOUR GENERAL PRACTICE","SCOTTISH GP PRACTICE","GP PRACTICE","01-04-2004","","01-04-2004","","Active","THE ANDREW DUNCAN CLINIC","EDINBURGH","EH10 5HF"
"T2X1R","SMART GENERAL PRACTICE","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","11-09-2025","","11-09-2025","","Active","16 HIGHFIELD ROAD","LEEDS","LS13 2BL"
"TAP28","AUDLEY/WHITEBANK GENERAL PRACTICE","CARE TRUST SITE","","01-04-2010","31-03-2013","01-04-2010","30-09-2021","Inactive","431 AUDLEY RANGE","BLACKBURN","BB1 1UD"
"W6V7K","KLEYN HEALTHCARE - BOLTON GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2021","","01-04-2021","","Active","2-4 MOOR LANE","BOLTON","BL1 4TH"
"Y02319","BOLTON GENERAL PRACTICE","PRESCRIBING COST CENTRE","GP PRACTICE","30-06-2008","","30-06-2008","","Active","2-4 MOOR LANE","BOLTON","BL1 4TH"
"Y02620","THE HILL GENERAL PRACTICE & UCC","PRESCRIBING COST CENTRE","GP PRACTICE","22-04-2009","","22-04-2009","","Active","856 STRATFORD ROAD","BIRMINGHAM","B11 4BW"
"Y02767","THE HEIGHT GENERAL PRACTICE","PRESCRIBING COST CENTRE","GP PRACTICE","01-07-2009","","17-06-2009","","Active","THE SURGERY","SALFORD","M6 7NJ"
"Y2R2L","THE HEIGHT GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2021","","01-04-2021","","Active","355 BOLTON ROAD","SALFORD","M6 7NJ"
